SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
1388,SI-3c.1,3c.1,0,,,,"The organization configures malicious code protection mechanisms to perform periodic scans of the information system [Assignment: organization-defined frequency] and real-time scans of files from external sources at [Selection (one or more); endpoint; network entry/exit points] as the files are downloaded, opened, or executed in accordance with organizational security policy.",Assignment: organization-defined frequency,Organization,,,,P1,0,1,1,1,227
1389,SI-3c.2,3c.2,0,,,,The organization configures malicious code protection mechanisms to [Selection (one or more): block malicious code; quarantine malicious code;  send alert to administrator; [Assignment: organization-defined action]] in response to malicious code detection.,Selection (one or more): block malicious code; quarantine malicious code;  send alert to administrator; [Assignment: organization-defined action,Organization,,,,P1,0,1,1,1,227
1390,SI-3d,3d,0,,,,The organization addresses the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the information system.,,Organization,,,,P1,0,1,1,1,227
1392,SI-4 (1),4 (1),1,1,System-Wide Intrusion Detection System,System-Wide Intrusion Detection System,The organization connects and configures individual intrusion detection tools into an information system-wide intrusion detection system.,,Organization,,,,P1,1,0,0,0,228
1393,SI-4 (10),4 (10),1,10,Visibility Of Encrypted Communications,Visibility Of Encrypted Communications,The organization makes provisions so that [Assignment: organization-defined encrypted communications traffic] is visible to [Assignment: organization-defined information system monitoring tools].,Assignment: organization-defined encrypted communications traffic,Organization,,,,P1,1,0,0,0,228
1394,SI-4 (11),4 (11),1,11,Analyze Communications Traffic Anomalies,Analyze Communications Traffic Anomalies,"The organization analyzes outbound communications traffic at the external boundary of the information system and selected [Assignment: organization-defined interior points within the system (e.g., subnetworks, subsystems)] to discover anomalies.","Assignment: organization-defined interior points within the system (e.g., subnetworks, subsystems)",Organization,,,,P1,1,0,0,0,228
1395,SI-4 (12),4 (12),1,12,Automated Alerts,Automated Alerts,The organization employs automated mechanisms to alert security personnel of the following inappropriate or unusual activities with security implications: [Assignment: organization-defined activities that trigger alerts].,Assignment: organization-defined activities that trigger alerts,Organization,,,,P1,1,0,0,0,228
1396,SI-4 (13)(a),4 (13)(a),1,(13)(a),Analyze Traffic / Event Patterns,Analyze Traffic / Event Patterns,The organization analyzes communications traffic/event patterns for the information system;,,Organization,,,,P1,1,0,0,0,228
1397,SI-4 (13)(b),4 (13)(b),1,(13)(b),Analyze Traffic / Event Patterns,Analyze Traffic / Event Patterns,The organization develops profiles representing common traffic patterns and/or events.,,Organization,,,,P1,1,0,0,0,228
1398,SI-4 (13)(c),4 (13)(c),1,(13)(c),Analyze Traffic / Event Patterns,Analyze Traffic / Event Patterns,The organization uses the traffic/event profiles in tuning system-monitoring devices to reduce the number of false positives and the number of false negatives.,,Organization,,,,P1,1,0,0,0,228
1399,SI-4 (14),4 (14),1,14,Wireless Intrusion Detection,Wireless Intrusion Detection,The organization employs a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises/breaches to the information system.,,Organization,,,,P1,1,0,0,0,228
1400,SI-4 (15),4 (15),1,15,Wireless To Wireline Communications,Wireless To Wireline Communications,The organization employs an intrusion detection system to monitor wireless communications traffic as the traffic passes from wireless to wireline networks.,,Organization,,,,P1,1,0,0,0,228
1401,SI-4 (16),4 (16),1,16,Correlate Monitoring Information,Correlate Monitoring Information,The organization correlates information from monitoring tools employed throughout the information system.,,Organization,,,,P1,1,0,0,0,228
1402,SI-4 (17),4 (17),1,17,Integrated Situational Awareness,Integrated Situational Awareness,"The organization correlates information from monitoring physical, cyber, and supply chain activities to achieve integrated, organization-wide situational awareness.",,Organization,,,,P1,1,0,0,0,228
1403,SI-4 (18),4 (18),1,18,Analyze Traffic / Covert Exfiltration,Analyze Traffic / Covert Exfiltration,"The organization analyzes outbound communications traffic at the external boundary of the information system (i.e., system perimeter) and at [Assignment: organization-defined interior points within the system (e.g., subsystems, subnetworks)] to detect covert exfiltration of information.","Assignment: organization-defined interior points within the system (e.g., subsystems, subnetworks)",Organization,,,,P1,1,0,0,0,228
1404,SI-4 (19),4 (19),1,19,Individuals Posing Greater Risk,Individuals Posing Greater Risk,The organization implements [Assignment: organization-defined additional monitoring] of individuals who have been identified by [Assignment: organization-defined sources] as posing an increased level of risk.,Assignment: organization-defined additional monitoring,Organization,,,,P1,1,0,0,0,228
1405,SI-4 (2),4 (2),1,2,Automated Tools For Real-Time Analysis,Automated Tools For Real-Time Analysis,The organization employs automated tools to support near real-time analysis of events.,,Organization,,,,P1,1,0,1,1,228
1406,SI-4 (20),4 (20),1,20,Privileged Users,Privileged Users,The organization implements [Assignment: organization-defined additional monitoring] of privileged users.,Assignment: organization-defined additional monitoring,Organization,,,,P1,1,0,0,0,228
1407,SI-4 (21),4 (21),1,21,Probationary Periods,Probationary Periods,The organization implements [Assignment: organization-defined additional monitoring] of individuals during [Assignment: organization-defined probationary period].,Assignment: organization-defined additional monitoring,Organization,,,,P1,1,0,0,0,228
1408,SI-4 (22),4 (22),1,22,Unauthorized Network Services,Unauthorized Network Services,The information system detects network services that have not been authorized or approved by [Assignment: organization-defined authorization or approval processes] and [Selection (one or more): audits; alerts [Assignment: organization-defined personnel or roles]].,Assignment: organization-defined authorization or approval processes,Information System,,,,P1,1,0,0,0,228
1409,SI-4 (23),4 (23),1,23,Host-Based Devices,Host-Based Devices,The organization implements [Assignment: organization-defined host-based monitoring mechanisms] at [Assignment: organization-defined information system components].,Assignment: organization-defined host-based monitoring mechanisms,Organization,,,,P1,1,0,0,0,228
1410,SI-4 (24),4 (24),1,24,Indicators Of Compromise,Indicators Of Compromise,"The information system discovers, collects, distributes, and uses indicators of compromise.",,Information System,,,,P1,1,0,0,1,228
1411,SI-4 (3),4 (3),1,3,Automated Tool Integration,Automated Tool Integration,The organization employs automated tools to integrate intrusion detection tools into access control and flow control mechanisms for rapid response to attacks by enabling reconfiguration of these mechanisms in support of attack isolation and elimination.,,Organization,,,,P1,1,0,0,0,228
